ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,X,Y,VICTIMA,ACUSADO
2016-0001,1,2016-01-01,2016,1,1,04:00:00,4.0,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO
2016-0002,1,2016-01-02,2016,1,2,01:15:00,1.0,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2016-0003,1,2016-01-03,2016,1,3,07:00:00,7.0,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO
2016-0004,1,2016-01-10,2016,1,10,00:00:00,0.0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,MOTO,
2016-0005,1,2016-01-21,2016,1,21,05:20:00,5.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-58.38718297,-34.6224663,MOTO,PASAJEROS
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19.0,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.6082544,MOTO,AUTO
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15.0,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO
2016-0012,1,2016-02-08,2016,2,8,01:20:00,1.0,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CARGAS
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11.0,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO
2016-0015,1,2016-02-14,2016,2,14,05:14:00,5.0,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.4376002,-34.59912758,PEATON,AUTO
2016-0016,1,2016-02-14,2016,2,14,22:00:00,22.0,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO
2016-0017,1,2016-02-15,2016,2,15,16:54:00,16.0,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO
2016-0019,1,2016-02-17,2016,2,17,09:30:00,9.0,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-58.50990884,-34.65468721,PEATON,PASAJEROS
